  1.000000  0.002100
  0.998459  0.002460
  0.993844  0.003534
  0.986185  0.005303
  0.975528  0.007737
  0.961940  0.010796
  0.945503  0.014430
  0.926320  0.018582
  0.904508  0.023191
  0.880203  0.028190
  0.853553  0.033512
  0.824724  0.039087
  0.793893  0.044842
  0.761249  0.050706
  0.726995  0.056604
  0.691342  0.062460
  0.654508  0.068196
  0.616723  0.073728
  0.578217  0.078972
  0.539230  0.083837
  0.500000  0.088234
  0.460770  0.092068
  0.421783  0.095247
  0.383277  0.097682
  0.345492  0.099291
  0.308658  0.100000
  0.273005  0.099747
  0.238751  0.098486
  0.206107  0.096190
  0.175276  0.092849
  0.146447  0.088472
  0.119797  0.083090
  0.095492  0.076748
  0.073680  0.069509
  0.054497  0.061444
  0.038060  0.052633
  0.024472  0.043156
  0.013815  0.033090
  0.006156  0.022506
  0.001541  0.011461
  0.000000  0.000000
  0.001541 -0.011461
  0.006156 -0.022506
  0.013815 -0.033090
  0.024472 -0.043156
  0.038060 -0.052633
  0.054497 -0.061444
  0.073680 -0.069509
  0.095492 -0.076748
  0.119797 -0.083090
  0.146447 -0.088472
  0.175276 -0.092849
  0.206107 -0.096190
  0.238751 -0.098486
  0.273005 -0.099747
  0.308658 -0.100000
  0.345492 -0.099291
  0.383277 -0.097682
  0.421783 -0.095247
  0.460770 -0.092068
  0.500000 -0.088234
  0.539230 -0.083837
  0.578217 -0.078972
  0.616723 -0.073728
  0.654508 -0.068196
  0.691342 -0.062460
  0.726995 -0.056604
  0.761249 -0.050706
  0.793893 -0.044842
  0.824724 -0.039087
  0.853553 -0.033512
  0.880203 -0.028190
  0.904508 -0.023191
  0.926320 -0.018582
  0.945503 -0.014430
  0.961940 -0.010796
  0.975528 -0.007737
  0.986185 -0.005303
  0.993844 -0.003534
  0.998459 -0.002460
  1.000000 -0.002100
